variableId,servicePointId,readingType,deviceId,meteringType,readingUtcLocalTime,readingDateSource,readingLocalTime,dstStatus,channel,unitOfMeasure,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,intervalSize,logNumber,version,readingsValue,primarySource,readingsSource,owner,guidFile,estatus,registersNumber,eventsCode,agentId,agentDescription,multiplier,deviceMaster,deviceDescription,deviceStatus,serial,accountNumber,servicePointTimeZone,connectionType,relationEndDate,deviceType,brand,model,result_rD,relationStartDate,result_sPV,toStock,lastReadDate
Demand Reset Count,RegTest-sdp_id-rex-01,REGISTERS,2,MAIN,2011-05-16 11:40:00,2011-05-16 06:40:00,2011-05-16 06:40:00,,,99,,,,,,,150,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,true,2011-05-22 22:44:23,true,true,2011-06-05T13:42:22
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-25 17:00:00,2011-03-25 12:00:00,2011-03-25 12:00:00,,1,74,,,,15,1,Original,150,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,true,2011-05-22 22:44:23,true,true,2011-05-27T13:42:22
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-25 16:00:00,2011-03-25 11:00:00,2011-03-25 11:00:00,,1,74,,,,15,1,Original,150,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,true,2011-05-22 22:44:23,true,true,2011-05-27T13:42:22
Tamper Alert Config Table Write Warning,RegTest-sdp_id-rex-01,EVENTS,2,MAIN,2011-05-16 11:32:37,2011-05-16 06:32:37,2011-05-16 06:32:37,,,70,,,,,1,Original,0,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,71,,,'MultiplierValues':{'ke':''},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,true,2011-05-22 22:44:23,true,true,2011-07-05T13:42:22
Magnitude11,RegTest-sdp_id-rex-01,EVENTS,2,MAIN,2011-05-05 17:42:20,2011-05-05 12:42:20,2011-05-05 12:42:20,,150,70,,,,,,,-83,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':''},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,true,2011-05-22 22:44:23,true,true,2011-06-27T13:42:22
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-25 14:30:00,2011-03-25 09:30:00,2011-03-25 09:30:00,,1,74,,,,15,1,Original,2.3,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,true,2011-05-22 22:44:23,true,true,2011-05-27T13:42:22
Service Sustained Outage Count,RegTest-sdp_id-rex-01,EVENTS,2,MAIN,2011-05-16 11:32:37,2011-05-16 06:32:37,2011-05-16 06:32:37,,,70,,,,,1,Original,3,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,74,,,'MultiplierValues':{'ke':''},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,true,2011-05-22 22:44:23,true,true,2011-05-05T13:42:22
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-25 17:30:00,2011-03-25 12:30:00,2011-03-25 12:30:00,,1,74,,,,15,1,Original,2.31,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,true,2011-05-22 22:44:23,true,true,2011-05-27T13:42:22
Demand Reset,RegTest-sdp_id-rex-01,EVENTS,2,MAIN,2011-05-09 08:55:00,2011-05-09 03:55:00,2011-05-09 03:55:00,,,70,,,,,,,0,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':''},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,true,2011-05-22 22:44:23,true,true,2011-06-05T13:42:22
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-26 06:30:00,2011-03-26 01:30:00,2011-03-26 01:30:00,,1,74,,,,15,1,Original,2.31,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,true,2011-05-22 22:44:23,true,true,2011-05-27T13:42:22
